name,team,year,age,height,weight,rating,completions,yds_per_comp,yds_lost_by_sack,ints,net_yds_per_att,games_played,longest_pass,adj_net_yds_per_att,td_percentage,completion_percentage,games_started,int_percentage,avg_yds_per_att,avg_value,comebacks,gwds,sacked,wins,tds,yds_per_att,yds,qbr,yds_per_game,att,perc_times_sk,c_cmpp,c_avg_cmpp,c_ya,c_aya,c_rate,c_pct,c_avg_att,c_att,c_numyrs,c_td,c_avg_tds,c_inter,c_avg_inter,c_yds,c_avg_yds,draft_Year,draft_No,draft_Round,draft_Pick,draft_Player,draft_Team,draft_College
Aaron Brooks,NOR,2001,25,76,220,76.4,312,12.3,330,22,5.76,16,63,4.99,4.7,55.9,16,3.9,6,15,2,3,50,7,26,6.9,3832,NA,239.5,558,8.2,370,123.33,7.8,7.3,130.2,54.8,225,675,3,34,11.33,23,7.67,5270,1756.67,1999,9,4,36,131,Packers,Virginia
Aaron Rodgers,GNB,2008,25,74,223,93.8,341,11.8,231,13,6.68,16,71,6.64,5.2,63.6,16,2.4,7.5,15,1,2,34,6,28,7.5,4038,66.93,252.4,536,6,424,212,8.2,8.6,150.3,63.8,332.5,665,2,43,21.5,13,6.5,5469,2734.5,2005,2,1,24,24,Packers,California
Akili Smith,CIN,2000,25,75,220,52.8,118,10.6,191,6,3.5,12,46,2.81,1.1,44.2,11,2.2,3.9,1,NA,NA,36,2,3,4.7,1253,NA,104.4,267,11.9,323,161.5,9,9.4,153.1,56.6,285.5,571,2,45,22.5,15,7.5,5148,2574,1999,3,1,3,3,Bengals,Oregon
Al Woodall,NYJ,1970,25,77,205,68.7,96,13.2,222,9,4.81,10,67,3.77,4.8,51.1,9,4.8,5.5,6,NA,NA,29,3,9,6.7,1265,NA,126.5,188,13.4,118,59,6.8,4.5,104.7,53.4,110.5,221,2,4,2,13,6.5,1501,750.5,1969,5,2,26,52,Jets,Duke
Alex Smith,SFO,2005,21,76,212,40.8,84,10.4,185,11,3.56,9,47,1.11,0.6,50.9,7,6.7,2.4,-2,1,2,29,2,1,5.3,875,NA,97.2,165,14.9,389,129.67,8.9,9.9,164.4,66.3,195.67,587,3,47,15.67,8,2.67,5203,1734.33,2005,1,1,1,1,49ers,Utah
Alex Van Pelt,BUF,2001,31,73,220,76.4,178,11.6,73,11,6.18,12,80,5.38,3.9,58,8,3.6,5.9,5,1,1,14,2,12,6.7,2056,NA,171.3,307,4.4,865,216.25,7.5,6.6,127,57.6,375.75,1503,4,66,16.5,60,15,11267,2816.75,1993,6,8,20,216,Steelers,Pittsburgh
Andrew Luck,IND,2012,23,76,234,76.5,339,12.9,246,18,6.18,16,70,5.66,3.7,54.1,15,2.9,6.4,13,4,NA,41,11,23,7,4374,64.99,273.4,627,6.1,713,237.67,8.9,9.5,162.8,67,354.67,1064,3,82,27.33,22,7.33,9430,3143.33,2012,1,1,1,1,Colts,Stanford
Andrew Walter,OAK,2006,24,78,230,55.8,147,11.4,256,13,4.41,12,51,2.78,1.1,53.3,8,4.7,4.2,0,NA,NA,46,2,3,6.1,1677,NA,139.8,276,14.3,777,194.25,7.5,7.6,132.6,54.9,354,1416,4,85,21.25,36,9,10617,2654.25,2005,5,3,5,69,Raiders,Arizona State
Andy Dalton,CIN,2011,24,74,215,80.4,300,11.3,160,13,6,16,84,5.65,3.9,58.1,16,2.5,6.2,11,4,4,24,9,20,6.6,3398,45.84,212.4,516,4.4,812,203,7.8,7.9,140.7,61.7,329.25,1317,4,71,17.75,30,7.5,10314,2578.5,2011,5,2,3,35,Bengals,Texas Christian
Anthony Dilweg,GNB,1990,25,75,215,72.1,101,12.5,150,7,5.22,9,59,4.5,4.2,52.6,7,3.6,5.8,4,1,1,22,2,8,6.6,1267,NA,140.8,192,10.3,342,85.5,7.7,6.8,128.9,57.6,148.5,594,4,27,6.75,24,6,4557,1139.25,1989,4,3,18,74,Packers,Duke
