,draft_Year,draft_No,draft_Round,draft_Pick,draft_Player,name,draft_Team,draft_College
1,2013,1,1,16,16,E.J. Manuel,Bills,Florida State
2,2013,2,2,7,39,Geno Smith,Jets,West Virginia
3,2013,3,3,11,73,Mike Glennon,Buccaneers,North Carolina State
4,2013,4,4,1,98,Matt Barkley,Eagles,USC
5,2013,5,4,13,110,Ryan Nassib,Giants,Syracuse
6,2013,6,4,15,112,Tyler Wilson,Raiders,Arkansas
7,2013,7,4,18,115,Landry Jones,Steelers,Oklahoma
8,2013,8,7,15,221,Brad Sorensen,Chargers,Southern Utah
9,2013,9,7,28,234,Zac Dysert,Broncos,Miami (OH)
10,2013,10,7,31,237,B.J. Daniels,49ers,South Florida
11,2013,11,7,43,249,Sean Renfree,Falcons,Duke
12,2012,1,1,1,1,Andrew Luck,Colts,Stanford
13,2012,2,1,2,2,Robert Griffin III,Redskins,Baylor
14,2012,3,1,8,8,Ryan Tannehill,Dolphins,Texas A&M
15,2012,4,1,22,22,Brandon Weeden,Browns,Oklahoma State
16,2012,5,2,25,57,Brock Osweiler,Broncos,Arizona State
17,2012,6,3,12,75,Russell Wilson,Seahawks,Wisconsin
18,2012,7,3,25,88,Nick Foles,Eagles,Arizona
19,2012,8,4,7,102,Kirk Cousins,Redskins,Michigan State
20,2012,9,6,15,185,Ryan Lindley,Cardinals,San Diego State
21,2012,10,7,36,243,B.J. Coleman,Packers,Tennessee-Chattanooga
22,2012,11,7,46,253,Chandler Harnish,Colts,Northern Illinois
24,2011,1,1,1,1,Cam Newton,Panthers,Auburn
25,2011,2,1,8,8,Jake Locker,Titans,Washington
26,2011,3,1,10,10,Blaine Gabbert,Jaguars,Missouri
27,2011,4,1,12,12,Christian Ponder,Vikings,Florida State
28,2011,5,2,3,35,Andy Dalton,Bengals,Texas Christian
29,2011,6,2,4,36,Colin Kaepernick,49ers,Nevada
30,2011,7,3,10,74,Ryan Mallett,Patriots,Arkansas
31,2011,8,5,4,135,Ricky Stanzi,Chiefs,Iowa
32,2011,9,5,21,152,T.J. Yates,Texans,North Carolina
33,2011,10,5,29,160,Nathan Enderle,Bears,Idaho
34,2011,11,6,15,180,Tyrod Taylor,Ravens,Virginia Tech
35,2011,12,7,5,208,Greg McElroy,Jets,Alabama
36,2010,1,1,1,1,Sam Bradford,Rams,Oklahoma
37,2010,2,1,25,25,Tim Tebow,Broncos,Florida
38,2010,3,2,16,48,Jimmy Clausen,Panthers,Notre Dame
39,2010,4,3,21,85,Colt McCoy,Browns,Texas
40,2010,5,4,24,122,Mike Kafka,Eagles,Northwestern
41,2010,6,5,24,155,John Skelton,Cardinals,Fordham
42,2010,7,5,37,168,Jonathan Crompton,Chargers,Tennessee
43,2010,8,6,7,176,Rusty Smith,Titans,Florida Atlantic
44,2010,9,6,12,181,Dan LeFevour,Bears,Central Michigan
45,2010,10,6,30,199,Joe Webb,Vikings,Alabama-Birmingham
46,2010,11,6,35,204,Tony Pike,Panthers,Cincinnati
47,2010,12,7,2,209,Levi Brown,Bills,Troy
48,2010,13,7,32,239,Sean Canfield,Saints,Oregon State
49,2010,14,7,43,250,Zac Robinson,Patriots,Oklahoma State
50,2009,1,1,1,1,Matthew Stafford,Lions,Georgia
51,2009,2,1,5,5,Mark Sanchez,Jets,USC
52,2009,3,1,17,17,Josh Freeman,Buccaneers,Kansas State
53,2009,4,2,12,44,Pat White,Dolphins,West Virginia
54,2009,5,4,1,101,Stephen McGee,Cowboys,Texas A&M
55,2009,6,5,15,151,Rhett Bomar,Giants,Sam Houston State
56,2009,7,5,35,171,Nate Davis,49ers,Ball State
57,2009,8,6,1,174,Tom Brandstater,Broncos,Fresno State
58,2009,9,6,5,178,Mike Teel,Seahawks,Rutgers
59,2009,10,6,23,196,Keith Null,Rams,West Texas A&M
60,2009,11,6,28,201,Curtis Painter,Colts,Purdue
61,2009,12,7,23,232,Julian Edelman,Patriots,Kent State
62,2008,1,1,3,3,Matt Ryan,Falcons,Boston College
63,2008,2,1,18,18,Joe Flacco,Ravens,Delaware
64,2008,3,2,25,56,Brian Brohm,Packers,Louisville
65,2008,4,2,26,57,Chad Henne,Dolphins,Michigan
66,2008,5,3,31,94,Kevin O'Connell,Patriots,San Diego State
67,2008,6,5,2,137,John David Booty,Vikings,USC
68,2008,7,5,21,156,Dennis Dixon,Steelers,Oregon
69,2008,8,5,25,160,Josh Johnson,Buccaneers,San Diego
70,2008,9,5,27,162,Erik Ainge,Jets,Tennessee
71,2008,10,6,20,186,Colt Brennan,Redskins,Hawaii
72,2008,11,6,32,198,Andre' Woodson,Giants,Kentucky
73,2008,12,7,2,209,Matt Flynn,Packers,Louisiana State
74,2008,13,7,16,223,Alex Brink,Texans,Washington State
75,2007,1,1,1,1,JaMarcus Russell,Raiders,Louisiana State
76,2007,2,1,22,22,Brady Quinn,Browns,Notre Dame
77,2007,3,2,4,36,Kevin Kolb,Eagles,Houston
78,2007,4,2,8,40,John Beck,Dolphins,Brigham Young
79,2007,5,2,11,43,Drew Stanton,Lions,Michigan State
