age,height,weight,wins,tds,c_numyrs,year,c_avg_cmpp,c_avg_att,c_numyrs,c_avg_tds,c_avg_inter,c_avg_yds
24,71,204,11,26,4,2012,226.75,372.25,4,27.25,7.5,2930
23,76,234,11,23,3,2012,237.67,354.67,3,27.33,7.33,3143.33
29,76,221,5,14,4,2012,191.5,275.5,4,18.75,6.75,2315
24,76,221,7,12,4,2012,121,193.5,4,10.5,5.25,1362.5
25,77,233,5,10,4,2012,185,317.75,4,20.5,6,2524.5
24,75,231,4,10,4,2012,154.75,287,4,13.25,8.75,1909.75
22,77,248,6,21,3,2011,63.67,97.33,3,10,2.33,969.33
24,74,215,9,20,4,2011,203,329.25,4,17.75,7.5,2578.5
27,75,192,6,16,2,2011,220,366.5,2,14.5,13,2866.5
23,74,229,2,13,4,2011,149,241.25,4,12.25,7.5,1718
24,74,236,7,12,4,2011,165.25,248.75,4,22,4,2321.25
27,75,218,3,9,4,2011,241,391.25,4,21.25,7.75,3241
26,76,230,0,6,4,2011,246.75,412,4,16.75,11.5,2790.75
23,76,236,7,18,3,2010,201.33,297.67,3,29.33,5.33,2801
23,74,209,2,6,4,2010,289.25,411.25,4,28,11.25,3313.25
23,75,217,1,3,3,2010,231.67,370,3,20,9,2716
21,74,230,2,13,3,2009,188,329,3,17,11,2577
24,75,228,7,12,4,2009,207,346.75,4,21.75,9.25,2428.75
23,74,225,8,12,3,2009,104.33,162.33,3,13.67,5.33,1321.67
21,78,240,3,10,3,2009,226.67,383.67,3,14.67,11.33,2692.67
25,76,232,2,8,4,2009,232.25,400.5,4,23.75,9.75,2940.5
25,74,223,6,28,2,2008,212,332.5,2,21.5,6.5,2734.5
26,77,230,10,21,4,2008,5,8.25,4,0,0.25,48
23,77,224,11,16,4,2008,201.75,336.5,4,14,9.25,2328.25
23,78,232,11,14,1,2008,1,4,1,0,0,11
23,78,265,5,13,3,2008,164.33,265.67,3,17.33,7,2208.33
28,77,210,5,13,2,2008,135,227.5,2,9.5,6.5,1579
28,71,196,3,11,2,2008,205.5,356,2,13,13.5,2644.5
25,77,230,0,8,3,2008,262.67,432.67,3,25,13.33,3109
24,78,229,10,29,4,2007,192,378.75,4,19.75,14.25,2812.25
24,75,225,7,20,4,2007,177.5,310.5,4,14.75,9,2174.25
26,77,235,4,9,4,2007,179,267.25,4,14,6.5,1875.5
24,74,226,8,9,2,2007,8.5,24,2,0.5,1.5,98
24,76,231,5,7,4,2007,122,217,4,9,8.25,1360.75
28,74,215,1,6,4,2007,137.75,282,4,12,8.25,1926.5
24,74,224,3,5,4,2007,153.25,251.25,4,15.25,6,1888.75
24,74,210,NA,0,4,2007,208.75,371,4,14,8.25,2199.75
25,77,228,14,22,4,2006,271.75,427.75,4,23.75,8.5,3371
23,77,230,8,12,3,2006,148,239.33,3,14.67,9.33,2013.33
33,75,215,5,11,4,2006,114.5,191,4,8.5,7,1423
23,77,225,4,11,3,2006,269,415,3,33,7.67,3564.33
25,76,217,4,10,4,2006,228.25,359,4,16,8,2762.25
25,77,223,2,10,4,2006,138,213.5,4,11.25,6,1824.75
24,78,230,2,3,4,2006,194.25,354,4,21.25,9,2654.25
25,76,220,6,10,4,2005,133.75,227.75,4,14.5,7.75,1773.25
23,76,226,10,9,4,2005,187,315.5,4,15.25,6,2229.5
26,73,205,2,7,4,2005,101.25,188.5,4,9,4.25,1377.75
26,74,215,2,5,4,2005,120.5,243.5,4,10.25,13,1652
21,76,212,2,1,3,2005,129.67,195.67,3,15.67,2.67,1734.33
